100 1.11E+01 7.81E-01
105 9.20E+00 6.26E-01
110 7.71E+00 5.06E-01
115 6.52E+00 4.18E-01
120 5.55E+00 3.50E-01
125 4.76E+00 2.84E-01
130 4.12E+00 2.55E-01
135 3.55E+00 2.04E-01
140 3.10E+00 1.72E-01
145 2.71E+00 1.54E-01
150 2.39E+00 1.26E-01
155 2.11E+00 1.18E-01
160 1.86E+00 9.32E-02
165 1.66E+00 8.71E-02
170 1.48E+00 7.51E-02
175 1.32E+00 6.72E-02
180 1.18E+00 5.87E-02
185 1.06E+00 5.25E-02
190 9.60E-01 4.61E-02
195 8.69E-01 4.07E-02
200 7.85E-01 3.73E-02
205 7.12E-01 3.26E-02
210 6.47E-01 3.00E-02
215 5.88E-01 2.73E-02
220 5.36E-01 2.37E-02
225 4.91E-01 2.14E-02
230 4.47E-01 1.99E-02
235 4.11E-01 1.72E-02
240 3.77E-01 1.65E-02
245 3.46E-01 1.50E-02
250 3.18E-01 1.42E-02
255 2.93E-01 1.27E-02
260 2.68E-01 1.15E-02
265 2.49E-01 1.09E-02
270 2.30E-01 9.62E-03
275 2.13E-01 9.15E-03
280 1.97E-01 8.70E-03
285 1.82E-01 7.52E-03
290 1.71E-01 7.28E-03
295 1.58E-01 6.99E-03
300 1.46E-01 6.61E-03
305 1.36E-01 5.81E-03
310 1.27E-01 5.30E-03
315 1.18E-01 4.94E-03
320 1.10E-01 4.62E-03
325 1.02E-01 4.36E-03
330 9.56E-02 4.08E-03
335 8.94E-02 3.83E-03
340 8.37E-02 3.56E-03
345 7.87E-02 3.37E-03
350 7.37E-02 3.13E-03
355 6.90E-02 2.96E-03
360 6.47E-02 2.77E-03
365 6.07E-02 2.62E-03
370 5.76E-02 2.45E-03
375 5.41E-02 2.28E-03
380 4.98E-02 2.21E-03
385 4.73E-02 2.07E-03
390 4.45E-02 1.99E-03
395 4.18E-02 1.78E-03
400 3.93E-02 1.67E-03
405 3.75E-02 1.64E-03
410 3.50E-02 1.59E-03
415 3.30E-02 1.46E-03
420 3.11E-02 1.39E-03
425 2.96E-02 1.31E-03
430 2.77E-02 1.25E-03
435 2.62E-02 1.20E-03
440 2.49E-02 1.10E-03
445 2.33E-02 1.05E-03
450 2.18E-02 1.01E-03
455 2.11E-02 9.90E-04
460 1.97E-02 9.12E-04
465 1.85E-02 8.90E-04
470 1.78E-02 8.31E-04
475 1.67E-02 7.91E-04
480 1.56E-02 7.53E-04
500 1.25E-02 6.27E-04
525 9.65E-03 5.02E-04
550 7.61E-03 4.01E-04
575 5.93E-03 3.28E-04
600 4.74E-03 2.73E-04
625 3.57E-03 2.10E-04
650 2.88E-03 1.80E-04
675 2.27E-03 1.48E-04
700 1.85E-03 1.25E-04
725 1.47E-03 1.05E-04
750 1.13E-03 8.20E-05
775 9.04E-04 6.88E-05
800 7.25E-04 5.79E-05
825 5.81E-04 4.91E-05
850 4.67E-04 4.06E-05
875 3.77E-04 3.48E-05
900 2.91E-04 2.75E-05
925 2.45E-04 2.46E-05
950 1.90E-04 1.99E-05
975 1.60E-04 1.76E-05
1000 1.30E-04 1.49E-05
1025 9.70E-05 1.14E-05
1050 8.53E-05 1.07E-05
1075 7.46E-05 1.04E-05
1100 5.57E-05 7.99E-06
1125 4.52E-05 6.89E-06
1150 3.99E-05 6.62E-06
1175 2.54E-05 4.31E-06
1200 2.41E-05 4.33E-06
1225 1.80E-05 3.40E-06
1250 1.47E-05 2.91E-06
1275 1.29E-05 2.75E-06
1300 1.13E-05 2.64E-06
1325 9.17E-06 2.30E-06
1350 6.81E-06 1.81E-06
1375 7.19E-06 2.15E-06
1400 4.45E-06 1.37E-06
1425 3.92E-06 1.33E-06
1450 2.69E-06 9.66E-07
1475 1.85E-06 7.27E-07
1500 1.74E-06 7.52E-07
1525 1.64E-06 7.78E-07
1550 1.12E-06 5.72E-07
1575 8.91E-07 5.01E-07
1600 7.10E-07 4.37E-07
1625 5.62E-07 3.83E-07
1650 4.47E-07 3.28E-07
1675 4.18E-07 3.34E-07
1700 3.34E-07 2.84E-07
1725 2.24E-07 2.05E-07
1750 1.52E-07 1.52E-07
1775 1.46E-07 1.46E-07
1800 1.21E-07 1.21E-07
1825 1.40E-07 1.40E-07
1850 8.20E-08 8.20E-08
1875 5.84E-08 5.84E-08
1900 6.57E-08 6.57E-08
1925 4.55E-08 4.55E-08
1950 4.38E-08 4.38E-08
1975 4.36E-08 4.36E-08
2000 2.94E-08 2.94E-08
